meals,speed,acuity,Rate
282,0.19,0.09,100.0
0,0.0,0.1,100.0
16,0.01,0.1,100.0
33,0.02,0.1,100.0
42,0.03,0.1,100.0
68,0.04,0.1,100.0
83,0.05,0.1,100.0
82,0.06,0.1,100.0
85,0.07,0.1,100.0
120,0.08,0.1,100.0
130,0.09,0.1,100.0
158,0.1,0.1,100.0
167,0.11,0.1,100.0
180,0.12,0.1,100.0
206,0.13,0.1,100.0
211,0.14,0.1,100.0
232,0.15,0.1,100.0
220,0.16,0.1,100.0
247,0.17,0.1,100.0
242,0.18,0.1,100.0
275,0.19,0.1,100.0
0,0.0,0.11,100.0
17,0.01,0.11,100.0
29,0.02,0.11,100.0
48,0.03,0.11,100.0
54,0.04,0.11,100.0
71,0.05,0.11,100.0
110,0.06,0.11,100.0
110,0.07,0.11,100.0
131,0.08,0.11,100.0
125,0.09,0.11,100.0
163,0.1,0.11,100.0
156,0.11,0.11,100.0
173,0.12,0.11,100.0
203,0.13,0.11,100.0
202,0.14,0.11,100.0
227,0.15,0.11,100.0
226,0.16,0.11,100.0
251,0.17,0.11,100.0
272,0.18,0.11,100.0
293,0.19,0.11,100.0
0,0.0,0.12,100.0
15,0.01,0.12,100.0
32,0.02,0.12,100.0
48,0.03,0.12,100.0
56,0.04,0.12,100.0
79,0.05,0.12,100.0
85,0.06,0.12,100.0
110,0.07,0.12,100.0
118,0.08,0.12,100.0
140,0.09,0.12,100.0
162,0.1,0.12,100.0
170,0.11,0.12,100.0
183,0.12,0.12,100.0
208,0.13,0.12,100.0
227,0.14,0.12,100.0
241,0.15,0.12,100.0
245,0.16,0.12,100.0
247,0.17,0.12,100.0
281,0.18,0.12,100.0
289,0.19,0.12,100.0
0,0.0,0.13,100.0
17,0.01,0.13,100.0
33,0.02,0.13,100.0
50,0.03,0.13,100.0
65,0.04,0.13,100.0
80,0.05,0.13,100.0
107,0.06,0.13,100.0
113,0.07,0.13,100.0
133,0.08,0.13,100.0
138,0.09,0.13,100.0
164,0.1,0.13,100.0
182,0.11,0.13,100.0
193,0.12,0.13,100.0
208,0.13,0.13,100.0
230,0.14,0.13,100.0
234,0.15,0.13,100.0
248,0.16,0.13,100.0
257,0.17,0.13,100.0
285,0.18,0.13,100.0
317,0.19,0.13,100.0
0,0.0,0.14,100.0
15,0.01,0.14,100.0
30,0.02,0.14,100.0
48,0.03,0.14,100.0
64,0.04,0.14,100.0
81,0.05,0.14,100.0
90,0.06,0.14,100.0
109,0.07,0.14,100.0
132,0.08,0.14,100.0
135,0.09,0.14,100.0
164,0.1,0.14,100.0
159,0.11,0.14,100.0
196,0.12,0.14,100.0
204,0.13,0.14,100.0
240,0.14,0.14,100.0
230,0.15,0.14,100.0
244,0.16,0.14,100.0
266,0.17,0.14,100.0
280,0.18,0.14,100.0
300,0.19,0.14,100.0
0,0.0,0.15,100.0
16,0.01,0.15,100.0
35,0.02,0.15,100.0
51,0.03,0.15,100.0
56,0.04,0.15,100.0
81,0.05,0.15,100.0
107,0.06,0.15,100.0
119,0.07,0.15,100.0
142,0.08,0.15,100.0
139,0.09,0.15,100.0
167,0.1,0.15,100.0
178,0.11,0.15,100.0
189,0.12,0.15,100.0
213,0.13,0.15,100.0
226,0.14,0.15,100.0
244,0.15,0.15,100.0
262,0.16,0.15,100.0
285,0.17,0.15,100.0
286,0.18,0.15,100.0
294,0.19,0.15,100.0
0,0.0,0.16,100.0
16,0.01,0.16,100.0
35,0.02,0.16,100.0
48,0.03,0.16,100.0
59,0.04,0.16,100.0
85,0.05,0.16,100.0
100,0.06,0.16,100.0
115,0.07,0.16,100.0
144,0.08,0.16,100.0
153,0.09,0.16,100.0
172,0.1,0.16,100.0
